volunteer_id,type,org_id,date,hours
186,Leisure & Sports,175,2020/10/02,5
203,Leisure & Sports,250,2019/02/17,5
119,Youth Development,7,2020/12/04,4
189,Healthcare,99,2019/12/18,1
33,Pet and Animal Service,5,2019/09/20,5
205,Youth Development,146,2019/06/12,4
170,Healthcare,50,2017/02/11,1
74,Youth Development,162,2018/12/16,5
32,Pet and Animal Service,173,2022/03/22,4
25,Pet and Animal Service,87,2020/11/09,1
99,Healthcare,57,2018/01/26,5
150,Healthcare,55,2020/09/04,4
118,Pet and Animal Service,65,2019/08/29,5
74,Pet and Animal Service,78,2020/01/27,3
35,Youth Development,70,2022/07/02,1
128,Youth Development,98,2023/03/16,5
80,Pet and Animal Service,102,2018/03/09,2
254,Youth Development,128,2019/07/21,1
220,Healthcare,83,2022/11/01,3
133,Youth Development,118,2017/02/06,2
194,Leisure & Sports,24,2017/01/10,3
147,Leisure & Sports,10,2019/07/20,2
162,Healthcare,144,2023/06/01,1
84,Youth Development,245,2022/01/26,5
82,Pet and Animal Service,2,2021/03/09,2
87,Pet and Animal Service,203,2017/12/27,1
147,Pet and Animal Service,25,2022/09/02,2
123,Healthcare,23,2020/04/19,3
114,Healthcare,126,2018/06/21,2
9,Youth Development,40,2017/01/28,4
119,Youth Development,147,2023/02/10,1
128,Youth Development,203,2022/03/09,1
16,Pet and Animal Service,209,2022/05/14,4
211,Youth Development,231,2020/06/29,5
108,Leisure & Sports,71,2022/10/27,5
183,Leisure & Sports,189,2017/01/25,4
89,Pet and Animal Service,68,2018/01/26,1
111,Pet and Animal Service,46,2017/12/09,4
226,Pet and Animal Service,206,2022/12/15,2
59,Youth Development,96,2018/10/11,1
70,Youth Development,102,2017/05/11,5
250,Pet and Animal Service,120,2023/05/31,1
133,Pet and Animal Service,44,2018/07/11,2
14,Healthcare,137,2017/10/16,4
57,Youth Development,254,2023/04/16,3
7,Leisure & Sports,165,2018/08/25,4
245,Youth Development,201,2020/08/24,2
203,Pet and Animal Service,160,2018/08/26,5
241,Youth Development,118,2021/08/05,4
49,Youth Development,119,2017/09/24,1
98,Youth Development,81,2019/07/01,2
37,Leisure & Sports,206,2022/12/14,2
147,Pet and Animal Service,118,2022/11/02,5
130,Leisure & Sports,96,2018/10/15,1
218,Healthcare,96,2021/10/03,1
83,Youth Development,139,2019/11/16,3
102,Healthcare,1,2017/03/19,4
232,Pet and Animal Service,21,2022/02/25,5
254,Leisure & Sports,103,2023/05/27,3
12,Pet and Animal Service,203,2022/11/24,4
56,Healthcare,14,2018/03/27,4
2,Healthcare,193,2020/11/09,4
165,Pet and Animal Service,177,2017/09/10,5
35,Youth Development,242,2019/11/22,5
35,Leisure & Sports,33,2021/04/29,1
134,Pet and Animal Service,234,2020/07/01,5
44,Pet and Animal Service,219,2020/12/09,1
171,Youth Development,118,2019/04/26,2
218,Youth Development,119,2017/09/10,5
188,Leisure & Sports,232,2020/03/31,1
239,Healthcare,119,2021/08/14,3
50,Youth Development,186,2018/03/29,3
244,Healthcare,173,2020/04/30,3
21,Healthcare,182,2017/11/04,3
33,Pet and Animal Service,182,2019/02/26,5
165,Leisure & Sports,117,2021/09/05,3
22,Healthcare,116,2022/12/28,5
130,Youth Development,37,2017/11/29,3
53,Pet and Animal Service,85,2020/06/05,4
231,Healthcare,55,2022/09/04,2
244,Healthcare,218,2022/02/24,4
19,Pet and Animal Service,99,2023/05/20,5
220,Leisure & Sports,138,2021/10/14,2
199,Leisure & Sports,129,2018/07/04,4
189,Pet and Animal Service,206,2017/01/26,5
78,Youth Development,162,2017/07/12,1
59,Pet and Animal Service,113,2020/04/24,4
72,Leisure & Sports,186,2019/04/19,4
169,Healthcare,93,2020/10/02,5
254,Pet and Animal Service,230,2019/09/26,3
57,Leisure & Sports,124,2023/04/21,3
11,Pet and Animal Service,179,2017/12/28,3
170,Pet and Animal Service,218,2023/05/04,2
237,Pet and Animal Service,55,2021/08/05,5
56,Healthcare,96,2022/04/21,5
51,Leisure & Sports,186,2017/09/02,5
74,Leisure & Sports,76,2020/03/31,5
206,Leisure & Sports,32,2017/09/12,2
82,Youth Development,41,2018/04/07,2
150,Healthcare,111,2021/08/17,3
199,Leisure & Sports,23,2023/04/30,1
109,Leisure & Sports,179,2018/07/16,2
167,Healthcare,154,2021/09/05,4
172,Pet and Animal Service,110,2023/01/03,1
81,Leisure & Sports,23,2021/07/26,3
185,Youth Development,218,2019/09/12,1
35,Pet and Animal Service,105,2022/09/09,5
25,Youth Development,23,2021/09/28,2
240,Pet and Animal Service,35,2022/04/30,5
47,Youth Development,107,2023/05/09,3
118,Leisure & Sports,2,2021/02/24,2
183,Pet and Animal Service,119,2023/05/31,2
124,Pet and Animal Service,155,2018/10/15,2
72,Pet and Animal Service,160,2019/09/11,5
177,Healthcare,244,2017/08/03,1
215,Leisure & Sports,229,2022/12/17,5
116,Healthcare,60,2021/07/13,1
18,Leisure & Sports,41,2019/03/08,1
146,Healthcare,32,2022/03/30,5
48,Healthcare,215,2017/05/07,2
52,Youth Development,1,2021/12/10,5
118,Leisure & Sports,237,2019/04/26,4
129,Healthcare,154,2020/11/18,3
224,Healthcare,21,2022/10/20,3
245,Leisure & Sports,232,2018/01/19,5
236,Youth Development,189,2019/03/10,4
30,Pet and Animal Service,24,2022/02/01,5
226,Leisure & Sports,205,2019/04/02,4
244,Leisure & Sports,120,2021/04/10,5
94,Healthcare,99,2017/02/28,5
56,Healthcare,70,2019/11/22,5
20,Pet and Animal Service,197,2021/07/20,4
232,Healthcare,4,2022/01/29,5
221,Healthcare,94,2020/01/14,3
167,Youth Development,74,2020/11/29,2
37,Leisure & Sports,41,2019/05/12,3
49,Youth Development,21,2020/09/25,2
87,Youth Development,5,2022/03/04,5
234,Pet and Animal Service,108,2021/02/24,4
197,Leisure & Sports,85,2019/02/26,5
75,Pet and Animal Service,160,2017/10/11,2
9,Leisure & Sports,45,2019/09/20,1
175,Youth Development,234,2019/11/11,3
116,Healthcare,181,2017/06/30,1
239,Leisure & Sports,160,2017/02/13,3
175,Youth Development,90,2019/01/23,1
212,Leisure & Sports,183,2019/03/23,4
16,Leisure & Sports,223,2021/09/30,5
151,Youth Development,151,2022/01/11,3
5,Healthcare,160,2019/04/19,5
40,Leisure & Sports,103,2022/09/13,2
174,Healthcare,27,2019/03/13,3
96,Pet and Animal Service,171,2022/04/07,1
147,Healthcare,45,2022/11/01,5
110,Healthcare,99,2019/04/27,1
20,Healthcare,70,2021/08/09,2
231,Healthcare,189,2020/03/20,5
59,Leisure & Sports,55,2022/05/14,3
50,Healthcare,176,2022/03/11,4
40,Pet and Animal Service,119,2020/12/07,5
18,Healthcare,71,2021/06/12,5
241,Pet and Animal Service,74,2017/07/17,4
31,Healthcare,100,2022/12/28,2
57,Pet and Animal Service,57,2019/05/12,1
164,Pet and Animal Service,175,2021/12/26,2
84,Leisure & Sports,113,2020/06/15,5
87,Healthcare,125,2019/10/20,3
184,Leisure & Sports,125,2017/12/27,5
139,Healthcare,180,2018/10/15,5
182,Pet and Animal Service,50,2018/11/16,5
35,Healthcare,14,2020/09/02,3
185,Youth Development,113,2020/11/27,3
5,Healthcare,141,2020/01/14,2
50,Youth Development,77,2017/03/21,5
82,Youth Development,199,2020/12/14,4
154,Leisure & Sports,128,2019/08/27,2
27,Leisure & Sports,50,2022/09/13,2
101,Healthcare,74,2023/02/20,2
250,Leisure & Sports,111,2022/05/05,5
116,Pet and Animal Service,59,2023/05/30,3
132,Healthcare,92,2022/09/30,3
118,Healthcare,204,2019/06/11,1
232,Healthcare,182,2019/05/03,2
129,Leisure & Sports,90,2017/06/27,3
60,Healthcare,154,2017/11/15,5
22,Pet and Animal Service,25,2021/01/27,1
54,Youth Development,147,2023/04/03,1
56,Pet and Animal Service,55,2019/03/10,1
244,Leisure & Sports,57,2021/04/07,5
96,Leisure & Sports,197,2022/01/13,2
81,Pet and Animal Service,205,2020/10/17,5
61,Leisure & Sports,231,2022/02/27,3
122,Healthcare,230,2018/09/28,3
209,Leisure & Sports,99,2019/06/26,5
9,Healthcare,147,2022/05/13,5
87,Youth Development,111,2020/06/05,1
21,Youth Development,50,2019/08/05,4
9,Healthcare,203,2022/04/27,5
222,Healthcare,167,2018/03/21,3
254,Healthcare,189,2017/06/27,2
41,Healthcare,113,2017/11/15,2
60,Youth Development,81,2021/01/27,3
184,Healthcare,60,2020/09/21,3
182,Healthcare,134,2022/07/04,4
199,Leisure & Sports,146,2020/04/19,3
134,Healthcare,10,2022/07/02,2
189,Pet and Animal Service,190,2018/12/27,4
144,Healthcare,4,2017/06/04,4
31,Healthcare,93,2022/08/31,2
72,Youth Development,250,2018/04/23,5
65,Healthcare,90,2023/06/14,2
118,Pet and Animal Service,116,2021/08/24,1
165,Youth Development,215,2020/09/23,4
182,Leisure & Sports,244,2021/07/13,3
243,Youth Development,173,2018/12/16,2
204,Youth Development,190,2021/07/11,3
87,Youth Development,232,2021/11/27,4
71,Pet and Animal Service,186,2022/08/23,2
106,Youth Development,38,2022/01/18,2
229,Healthcare,63,2020/10/19,4
220,Youth Development,118,2020/11/18,2
182,Pet and Animal Service,173,2022/11/18,4
222,Leisure & Sports,117,2021/11/07,4
43,Healthcare,186,2022/05/05,4
121,Healthcare,200,2020/01/02,3
111,Youth Development,111,2017/10/17,4
114,Youth Development,118,2019/11/22,5
40,Healthcare,114,2020/09/21,1
113,Pet and Animal Service,132,2019/11/26,5
93,Youth Development,134,2023/03/22,2
74,Youth Development,231,2021/09/05,2
73,Pet and Animal Service,166,2019/09/07,3
12,Healthcare,40,2017/05/14,4
116,Pet and Animal Service,191,2020/11/28,5
154,Healthcare,197,2021/07/11,4
106,Leisure & Sports,206,2020/03/28,2
130,Leisure & Sports,219,2019/08/30,1
111,Leisure & Sports,245,2018/07/02,2
225,Pet and Animal Service,23,2023/01/04,2
103,Healthcare,109,2018/07/11,2
220,Pet and Animal Service,28,2018/04/08,3
32,Pet and Animal Service,191,2018/01/12,2
150,Leisure & Sports,197,2021/03/04,4
5,Leisure & Sports,144,2022/09/24,2
186,Youth Development,226,2017/11/15,5
116,Youth Development,217,2019/09/24,2
130,Pet and Animal Service,13,2019/06/29,4
97,Healthcare,177,2017/09/26,3
49,Pet and Animal Service,96,2020/01/06,2
31,Healthcare,124,2020/12/14,1
48,Youth Development,146,2017/08/29,1
33,Leisure & Sports,231,2020/03/20,3
234,Healthcare,205,2017/05/07,4
202,Leisure & Sports,44,2020/02/11,5
87,Pet and Animal Service,50,2022/05/10,4
233,Youth Development,237,2017/08/18,1
199,Healthcare,193,2018/09/28,3
78,Pet and Animal Service,190,2018/03/29,4
186,Youth Development,146,2020/08/06,3
209,Youth Development,166,2019/04/27,1
205,Pet and Animal Service,60,2022/01/29,5
5,Healthcare,72,2020/09/25,2
22,Youth Development,124,2022/09/15,5
117,Youth Development,37,2022/09/09,5
103,Pet and Animal Service,223,2019/04/08,1
103,Leisure & Sports,233,2019/03/28,1
15,Youth Development,25,2021/12/30,4
35,Healthcare,162,2022/08/04,1
149,Healthcare,133,2019/08/17,2
42,Pet and Animal Service,170,2022/07/21,3
216,Pet and Animal Service,254,2019/03/05,2
254,Youth Development,189,2017/05/02,3
100,Leisure & Sports,110,2020/05/22,4
48,Healthcare,90,2019/08/17,4
186,Youth Development,63,2021/08/02,1
78,Pet and Animal Service,55,2022/06/21,2
142,Pet and Animal Service,141,2017/01/30,5
209,Pet and Animal Service,154,2022/02/24,5
130,Leisure & Sports,206,2022/04/07,5
30,Youth Development,133,2019/01/09,1
134,Youth Development,119,2022/07/15,2
243,Youth Development,173,2019/03/10,1
169,Healthcare,202,2019/10/20,3
14,Pet and Animal Service,181,2018/06/08,1
252,Leisure & Sports,99,2021/11/07,2
220,Youth Development,27,2023/02/25,5
70,Youth Development,128,2021/09/28,1
77,Leisure & Sports,225,2022/05/10,4
203,Leisure & Sports,59,2019/03/22,4
106,Pet and Animal Service,14,2019/06/30,2
76,Leisure & Sports,106,2018/03/12,5
165,Youth Development,131,2019/10/25,4
134,Healthcare,99,2018/08/31,2
158,Pet and Animal Service,237,2022/05/15,5
221,Healthcare,254,2017/08/04,5
2,Youth Development,30,2018/07/16,2
25,Youth Development,23,2017/10/23,3
118,Healthcare,55,2022/09/15,5
239,Healthcare,165,2020/07/14,5
18,Healthcare,129,2023/03/01,2
95,Healthcare,253,2023/05/04,2
10,Healthcare,166,2018/07/11,5
117,Leisure & Sports,78,2021/10/07,4
82,Youth Development,189,2022/03/23,3
177,Healthcare,27,2018/07/16,5
141,Healthcare,121,2018/01/25,1
86,Healthcare,128,2018/05/08,4
242,Youth Development,190,2021/04/26,4
50,Healthcare,206,2020/04/20,2
133,Pet and Animal Service,239,2018/06/05,1
177,Healthcare,93,2020/12/05,1
11,Youth Development,25,2022/09/26,4
71,Healthcare,141,2017/04/16,3
20,Pet and Animal Service,173,2019/07/20,2
15,Pet and Animal Service,87,2019/05/09,1
21,Healthcare,79,2020/08/10,3
206,Youth Development,144,2020/07/02,1
218,Leisure & Sports,206,2023/06/13,1
48,Youth Development,148,2019/12/29,5
48,Healthcare,81,2022/08/31,3
182,Leisure & Sports,177,2021/12/20,3
14,Healthcare,50,2018/08/31,3
245,Leisure & Sports,241,2021/08/01,2
147,Pet and Animal Service,205,2020/11/11,4
32,Pet and Animal Service,59,2019/04/08,1
212,Leisure & Sports,204,2017/11/14,4
217,Youth Development,129,2017/06/11,2
144,Pet and Animal Service,189,2018/05/19,5
23,Healthcare,179,2018/11/03,3
185,Youth Development,68,2020/06/15,2
177,Pet and Animal Service,73,2018/02/04,5
26,Healthcare,98,2022/12/27,3
230,Leisure & Sports,24,2021/08/24,5
26,Healthcare,32,2021/02/24,4
229,Youth Development,186,2019/04/02,1
25,Leisure & Sports,18,2018/11/16,1
28,Youth Development,165,2017/06/27,4
198,Healthcare,230,2017/02/10,2
80,Healthcare,99,2018/09/28,4
180,Youth Development,182,2022/09/07,4
203,Youth Development,57,2021/12/26,1
243,Leisure & Sports,30,2018/09/18,2
146,Leisure & Sports,190,2017/03/20,1
31,Youth Development,7,2023/05/04,3
99,Youth Development,23,2020/04/15,1
99,Youth Development,1,2019/01/31,1
245,Leisure & Sports,179,2023/06/14,4
185,Healthcare,118,2018/06/08,5
70,Pet and Animal Service,175,2017/09/06,3
20,Pet and Animal Service,38,2022/07/13,1
119,Youth Development,77,2017/01/26,2
244,Youth Development,239,2019/08/17,4
184,Healthcare,116,2021/04/26,5
256,Pet and Animal Service,24,2022/09/26,2
223,Youth Development,240,2020/08/06,5
130,Leisure & Sports,25,2018/10/16,3
48,Youth Development,219,2020/10/02,2
189,Pet and Animal Service,144,2022/05/14,4
185,Pet and Animal Service,87,2022/07/02,5
138,Youth Development,23,2018/04/11,3
6,Youth Development,30,2019/09/07,5
133,Pet and Animal Service,107,2022/10/13,2
205,Leisure & Sports,184,2018/12/27,2
6,Pet and Animal Service,17,2018/11/19,4
20,Pet and Animal Service,44,2021/07/31,2
54,Youth Development,24,2017/05/31,2
187,Youth Development,77,2018/12/16,5
206,Leisure & Sports,91,2020/04/07,4
134,Leisure & Sports,59,2021/11/19,5
18,Leisure & Sports,175,2021/01/22,5
217,Healthcare,201,2017/10/17,4
218,Leisure & Sports,104,2021/03/04,3
253,Leisure & Sports,113,2018/11/13,1
185,Leisure & Sports,74,2019/08/27,4
121,Healthcare,105,2023/02/04,4
4,Youth Development,69,2022/11/24,5
45,Youth Development,68,2019/03/21,3
234,Youth Development,245,2020/01/13,1
5,Leisure & Sports,166,2018/03/22,5
147,Healthcare,197,2020/01/06,5
174,Healthcare,138,2022/09/30,3
253,Leisure & Sports,40,2019/03/10,4
114,Youth Development,94,2018/04/07,5
166,Healthcare,151,2017/06/13,2
234,Healthcare,46,2021/08/09,4
256,Youth Development,157,2020/06/15,3
197,Pet and Animal Service,182,2020/11/06,3
218,Healthcare,86,2019/04/10,2
10,Pet and Animal Service,231,2020/10/07,3
189,Healthcare,105,2022/05/14,5
37,Leisure & Sports,218,2020/01/06,1
188,Pet and Animal Service,50,2023/04/15,5
229,Healthcare,130,2018/03/22,2
70,Healthcare,182,2021/03/09,5
226,Pet and Animal Service,185,2019/08/07,2
28,Healthcare,166,2021/10/24,3
177,Leisure & Sports,96,2018/01/04,2
56,Healthcare,242,2019/12/25,1
131,Leisure & Sports,175,2022/09/24,2
116,Youth Development,114,2021/04/21,1
128,Leisure & Sports,173,2022/04/27,4
66,Youth Development,50,2021/04/02,3
108,Youth Development,50,2018/12/26,2
52,Healthcare,231,2018/10/15,1
232,Youth Development,167,2020/08/30,1
244,Youth Development,133,2022/10/13,1
242,Pet and Animal Service,173,2017/07/27,3
50,Leisure & Sports,52,2020/03/21,1
48,Youth Development,50,2019/09/30,1
99,Healthcare,209,2021/12/20,4
62,Pet and Animal Service,236,2022/04/21,3
53,Healthcare,37,2020/08/06,4
203,Leisure & Sports,155,2021/01/17,4
92,Healthcare,93,2020/05/09,5
212,Leisure & Sports,155,2022/11/02,4
41,Healthcare,110,2019/08/05,2
110,Youth Development,245,2019/12/25,1
130,Healthcare,141,2021/11/25,1
138,Pet and Animal Service,105,2022/08/04,4
84,Pet and Animal Service,155,2017/10/05,3
14,Leisure & Sports,103,2018/08/19,4
124,Pet and Animal Service,184,2020/05/07,1
148,Leisure & Sports,176,2017/08/18,4
118,Leisure & Sports,40,2021/05/03,3
225,Leisure & Sports,119,2021/11/06,1
217,Pet and Animal Service,155,2023/02/15,4
38,Healthcare,27,2020/01/19,1
218,Healthcare,120,2019/04/08,1
144,Youth Development,71,2019/02/27,2
87,Pet and Animal Service,70,2017/04/22,5
108,Pet and Animal Service,44,2018/07/13,2
196,Leisure & Sports,73,2022/09/15,4
8,Healthcare,85,2023/06/14,2
133,Healthcare,118,2023/01/03,4
71,Pet and Animal Service,93,2019/05/03,2
146,Pet and Animal Service,199,2020/11/28,1
190,Pet and Animal Service,96,2022/05/10,3
162,Healthcare,146,2017/01/28,4
17,Healthcare,90,2020/09/28,4
38,Pet and Animal Service,197,2022/07/15,5
35,Pet and Animal Service,60,2022/08/14,3
170,Healthcare,37,2023/06/11,4
165,Youth Development,116,2017/12/18,1
93,Youth Development,242,2019/09/22,1
82,Leisure & Sports,96,2022/09/24,1
101,Healthcare,50,2018/04/18,2
73,Pet and Animal Service,199,2022/01/13,3
206,Pet and Animal Service,40,2017/01/30,5
124,Healthcare,25,2017/10/05,2
234,Leisure & Sports,137,2020/08/30,5
7,Pet and Animal Service,5,2020/08/10,5
33,Pet and Animal Service,85,2019/09/16,3
103,Leisure & Sports,73,2021/09/09,5
186,Pet and Animal Service,44,2021/11/06,1
171,Leisure & Sports,181,2018/08/31,4
49,Pet and Animal Service,24,2021/12/07,4
2,Healthcare,46,2020/02/11,1
218,Leisure & Sports,55,2020/12/13,5
222,Leisure & Sports,14,2022/02/25,2
92,Pet and Animal Service,24,2019/05/29,3
110,Youth Development,241,2019/06/29,1
178,Youth Development,176,2018/01/19,3
101,Leisure & Sports,5,2019/06/26,1
99,Youth Development,249,2019/07/01,2
203,Leisure & Sports,193,2021/02/24,2
45,Leisure & Sports,99,2021/04/10,2
256,Leisure & Sports,92,2019/01/09,3
1,Youth Development,7,2019/11/22,5
173,Leisure & Sports,50,2022/08/05,5
25,Pet and Animal Service,181,2020/11/27,4
120,Healthcare,141,2022/04/07,3
96,Pet and Animal Service,76,2017/08/29,1
167,Leisure & Sports,201,2019/12/25,5
46,Pet and Animal Service,164,2022/08/05,2
162,Youth Development,199,2021/05/09,2
38,Healthcare,245,2023/05/04,1
40,Healthcare,177,2017/05/17,5
240,Pet and Animal Service,57,2021/05/09,4
24,Youth Development,49,2023/03/22,3
221,Pet and Animal Service,182,2022/09/04,3
208,Healthcare,245,2020/05/24,3
60,Pet and Animal Service,121,2021/02/24,2
72,Pet and Animal Service,157,2019/08/25,5
60,Pet and Animal Service,209,2021/03/08,4
96,Youth Development,50,2020/05/22,1
116,Leisure & Sports,198,2021/03/02,5
129,Pet and Animal Service,154,2018/09/17,2
166,Leisure & Sports,182,2022/07/27,2
176,Youth Development,237,2021/03/08,4
203,Healthcare,92,2023/06/14,5
120,Pet and Animal Service,120,2018/03/21,4
13,Youth Development,70,2019/12/20,3
60,Healthcare,113,2022/03/03,2
196,Leisure & Sports,245,2017/01/29,2
35,Pet and Animal Service,99,2019/06/08,5
92,Leisure & Sports,203,2017/12/27,2
12,Pet and Animal Service,72,2018/09/02,1
32,Healthcare,75,2022/12/02,1
32,Youth Development,119,2020/06/04,2
28,Healthcare,25,2021/04/01,1
197,Pet and Animal Service,50,2021/10/08,2
233,Healthcare,71,2023/06/11,2
72,Youth Development,106,2021/12/25,1
56,Pet and Animal Service,60,2022/12/27,1
96,Pet and Animal Service,182,2017/11/12,5
132,Pet and Animal Service,85,2020/06/18,3
135,Pet and Animal Service,61,2020/07/01,3
50,Leisure & Sports,165,2020/06/07,3
188,Youth Development,197,2017/08/26,1
177,Leisure & Sports,70,2018/01/05,2
242,Pet and Animal Service,231,2018/10/16,2
141,Healthcare,206,2021/05/31,3
250,Healthcare,33,2017/05/02,5
6,Healthcare,86,2017/12/27,4
182,Leisure & Sports,59,2020/03/28,5
82,Youth Development,72,2021/09/01,5
28,Healthcare,242,2021/08/11,3
113,Pet and Animal Service,200,2022/01/11,1
199,Healthcare,25,2018/07/16,5
39,Healthcare,244,2017/09/12,2
81,Leisure & Sports,176,2021/03/20,1
76,Leisure & Sports,100,2017/10/29,4
16,Youth Development,106,2019/08/05,1
226,Pet and Animal Service,255,2019/09/24,5
124,Healthcare,188,2023/01/05,5
173,Leisure & Sports,215,2020/04/24,2
144,Youth Development,134,2022/03/11,1
182,Youth Development,170,2018/09/18,5
14,Youth Development,23,2022/07/27,3
83,Pet and Animal Service,32,2022/03/31,3
79,Pet and Animal Service,116,2022/11/16,5
175,Leisure & Sports,10,2020/12/28,1
206,Healthcare,15,2022/01/28,2
167,Healthcare,219,2020/03/31,3
2,Healthcare,141,2019/09/03,4
3,Leisure & Sports,241,2017/02/13,1
97,Healthcare,96,2021/03/09,1
160,Pet and Animal Service,173,2021/04/01,2
25,Youth Development,183,2019/02/26,1
150,Healthcare,188,2021/09/30,4
96,Youth Development,175,2021/07/25,3
57,Leisure & Sports,129,2018/03/24,4
201,Healthcare,50,2023/03/11,3
44,Youth Development,229,2018/06/21,4
74,Pet and Animal Service,126,2021/10/08,2
68,Youth Development,10,2017/05/08,1
111,Pet and Animal Service,186,2020/10/02,1
101,Healthcare,32,2020/08/02,1
212,Healthcare,16,2020/01/14,3
244,Pet and Animal Service,208,2022/01/31,5
184,Leisure & Sports,55,2018/05/07,5
199,Pet and Animal Service,176,2019/08/05,4
242,Youth Development,119,2018/06/05,1
93,Leisure & Sports,40,2020/01/27,2
146,Leisure & Sports,249,2023/01/26,3
208,Pet and Animal Service,55,2017/04/28,3
146,Healthcare,28,2017/04/19,5
83,Leisure & Sports,203,2019/07/01,2
57,Youth Development,245,2019/07/01,2
79,Healthcare,23,2017/02/22,3
189,Pet and Animal Service,162,2022/09/04,1
231,Leisure & Sports,24,2021/10/06,2
245,Pet and Animal Service,18,2022/07/02,3
177,Youth Development,133,2021/08/08,3
174,Leisure & Sports,253,2018/02/14,3
73,Leisure & Sports,242,2022/11/16,4
245,Youth Development,226,2020/09/23,5
239,Pet and Animal Service,148,2022/11/01,2
135,Pet and Animal Service,147,2020/08/30,5
242,Pet and Animal Service,16,2021/08/09,4
180,Healthcare,204,2022/08/14,2
110,Pet and Animal Service,203,2020/07/14,4
190,Leisure & Sports,108,2023/05/04,4
154,Leisure & Sports,116,2023/02/17,1
27,Healthcare,124,2021/05/31,2
209,Healthcare,175,2021/01/27,1
208,Healthcare,117,2021/11/06,2
96,Pet and Animal Service,105,2018/04/25,3
146,Youth Development,4,2018/03/09,4
116,Healthcare,10,2017/09/02,2
32,Youth Development,77,2017/12/29,3
173,Youth Development,203,2019/04/15,3
72,Leisure & Sports,5,2019/11/08,1
133,Youth Development,21,2020/07/27,1
71,Leisure & Sports,128,2019/08/09,1
171,Leisure & Sports,44,2019/07/01,3
114,Leisure & Sports,208,2017/11/29,1
204,Pet and Animal Service,111,2017/12/18,3
